Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,43.6,43.93,2402443.0,43.51,40.3726,43.11
2015-01-05,42.795,43.57,2611059.0,43.48,39.6272,42.755
2015-01-06,42.18,42.92,3430462.0,42.83,39.0577,41.97
2015-01-07,42.195,42.62,2110610.0,42.49,39.0716,42.07
2015-01-08,43.135,43.335,2824232.0,42.5,39.942,42.45
2015-01-09,43.1,43.351,1442844.0,43.15,39.9096,42.72
2015-01-12,42.47,43.18,2560880.0,43.1,39.3263,42.25
2015-01-13,41.845,43.27,4836174.0,42.86,38.7475,41.39
2015-01-14,41.37,41.58,6150563.0,40.26,38.3077,40.04
2015-01-15,41.04,41.94,4180575.0,41.4,38.0021,40.9601
2015-01-16,41.215,41.37,4244816.0,40.74,38.1642,40.48
2015-01-20,41.06,41.86,3823376.0,41.45,38.0206,40.98
2015-01-21,41.51,41.63,5524884.0,40.81,38.4373,40.78
2015-01-22,38.96,39.84,20467422.0,38.11,36.0761,37.195
2015-01-23,39.28,39.41,4296233.0,38.9,36.3724,38.79
2015-01-26,38.99,39.26,4156423.0,38.37,36.1039,38.37
2015-01-27,39.445,39.565,4732437.0,38.57,36.5252,38.57
2015-01-28,38.77,40.04,4501086.0,39.55,35.9001,38.76
2015-01-29,38.99,39.37,3015446.0,38.75,36.1039,38.51
2015-01-30,38.575,39.06,4492867.0,38.57,35.7196,38.53
2015-02-02,38.83,38.91,4665864.0,38.33,36.2242,38.07
2015-02-03,39.305,39.53,2861431.0,38.64,36.6674,38.64
2015-02-04,39.84,40.13,3895150.0,39.26,37.1665,38.99
2015-02-05,39.565,39.985,3578449.0,39.87,36.9099,39.14
2015-02-06,39.4,40.0,2799488.0,39.76,36.756,39.29
2015-02-09,39.51,39.64,2769500.0,39.35,36.8586,39.23
2015-02-10,40.16,40.19,2013054.0,39.81,37.465,39.465
2015-02-11,39.93,40.15,2229719.0,40.01,37.2504,39.74
2015-02-12,41.0,41.02,3353578.0,40.06,38.2486,39.97
2015-02-13,41.51,41.57,3406215.0,40.98,38.7244,40.85
2015-02-17,41.925,41.93,3332023.0,41.49,39.1115,41.2875
2015-02-18,41.655,41.87,2574414.0,41.78,38.8597,41.4425
2015-02-19,41.61,41.71,1669953.0,41.71,38.8177,41.49
2015-02-20,41.675,41.77,2106159.0,41.44,38.8783,41.19
2015-02-23,41.29,41.72,1501336.0,41.68,38.5191,41.07
2015-02-24,42.48,42.53,3632239.0,41.33,39.6293,41.17
