Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,38.08,38.59,606118.0,38.4,36.4878,37.5
2015-01-05,35.71,37.42,1369903.0,37.34,34.2169,35.665
2015-01-06,35.5,35.92,1336249.0,35.7,34.0157,35.11
2015-01-07,35.78,36.0,1039030.0,35.87,34.284,35.25
2015-01-08,36.05,36.09,821836.0,36.01,34.5427,35.68
2015-01-09,35.37,36.11,755164.0,36.08,33.8911,35.32
2015-01-12,34.6,35.39,1437830.0,35.34,33.1533,34.38
2015-01-13,34.68,35.18,1140300.0,34.72,33.23,34.15
2015-01-14,34.46,34.66,640698.0,34.04,33.0192,33.93
2015-01-15,34.22,34.9,974811.0,34.63,32.7892,34.2
2015-01-16,34.47,34.49,905386.0,34.04,33.0287,33.98
2015-01-20,34.4,34.72,971225.0,34.6,32.9617,34.04
2015-01-21,35.1,35.14,918983.0,34.25,33.6324,34.25
2015-01-22,35.33,35.54,874419.0,35.32,33.8528,34.96
2015-01-23,35.17,35.52,597385.0,35.2,33.6995,35.17
2015-01-26,35.19,35.25,691225.0,35.12,33.7186,34.83
2015-01-27,34.74,34.91,661443.0,34.6,33.2875,34.42
2015-01-28,34.26,35.252,802183.0,34.9,32.8275,34.17
2015-01-29,34.16,34.3686,1959481.0,34.19,32.7317,33.54
2015-01-30,34.1,34.4,1633567.0,33.92,32.6742,33.91
2015-02-02,34.74,34.81,1554421.0,34.25,33.2875,33.81
2015-02-03,35.39,35.48,1196879.0,35.03,33.9103,34.86
2015-02-04,34.89,35.37,1372185.0,35.18,33.4312,34.71
2015-02-05,34.86,35.39,2360494.0,34.88,33.4024,34.41
2015-02-06,35.19,35.4,1986336.0,34.87,33.7186,34.75
2015-02-09,35.11,35.67,1828676.0,35.1,33.642,34.95
2015-02-10,35.39,35.44,1244568.0,35.23,33.9103,35.01
2015-02-11,35.25,35.39,729530.0,35.27,33.7761,35.02
2015-02-12,35.61,35.67,849858.0,35.39,34.1211,35.16
2015-02-13,36.06,36.105,1057669.0,35.6,34.6872,35.39
2015-02-17,35.88,36.03,836046.0,35.99,34.514,35.53
2015-02-18,35.83,36.1,622652.0,35.88,34.4659,35.69
2015-02-19,35.66,35.97,963707.0,35.69,34.3024,35.55
2015-02-20,36.03,36.17,770639.0,35.6,34.6583,35.37
2015-02-23,35.81,36.12,934685.0,35.97,34.4467,35.57
2015-02-24,35.96,36.03,730776.0,35.74,34.591,35.7
2015-02-25,36.04,36.275,788470.0,35.9,34.6679,35.9
2015-02-26,35.77,36.06,906690.0,36.06,34.4082,35.64
2015-02-27,35.7,35.95,663238.0,35.71,34.3409,35.581
2015-03-02,36.17,36.25,823350.0,35.66,34.793,35.54
2015-03-03,36.1,36.38,816748.0,36.03,34.7256,35.94
2015-03-04,35.69,35.9,968641.0,35.9,34.3313,35.52
2015-03-05,35.58,35.9,871779.0,35.69,34.2254,35.44
2015-03-06,35.17,35.58,1722125.0,35.31,33.8311,35.055
2015-03-09,35.25,35.47,849580.0,35.23,33.908,35.12
2015-03-10,34.7,34.9,1161861.0,34.81,33.3789,34.58
2015-03-11,34.58,34.72,959631.0,34.72,33.2635,34.19
2015-03-12,35.17,35.265,814991.0,34.67,33.8311,34.62
2015-03-13,34.61,35.19,1423794.0,35.16,33.2924,34.405
2015-03-16,35.03,35.04,766876.0,34.78,33.6964,34.59
2015-03-17,34.67,34.95,683563.0,34.95,33.3501,34.51
2015-03-18,35.87,36.0,1209297.0,34.56,34.5044,34.36
2015-03-19,35.54,35.76,883500.0,35.74,34.187,35.3508
2015-03-20,35.99,36.04,1423994.0,35.84,34.6198,35.77
2015-03-23,35.1,35.6,1405989.0,35.27,33.7637,35.1
2015-03-24,35.07,35.26,964692.0,35.06,33.7349,34.89
2015-03-25,34.74,35.22,773146.0,35.22,33.4174,34.74
2015-03-26,34.67,34.8,676196.0,34.54,33.3501,34.46
2015-03-27,34.97,35.08,1077340.0,34.61,33.6387,34.54
2015-03-30,35.35,35.41,696521.0,35.03,34.0042,35.03
2015-03-31,35.02,35.25,790369.0,35.25,33.6868,34.73
2015-04-01,35.41,35.625,1057705.0,35.48,34.0619,34.95
2015-04-02,35.79,36.01,873644.0,35.43,34.4275,35.31
2015-04-06,36.07,36.3,779881.0,35.48,34.6968,35.48
2015-04-07,36.07,36.21,916704.0,36.02,34.6968,35.88
2015-04-08,35.25,36.12,1642108.0,35.96,33.908,35.01
2015-04-09,34.96,35.23,1404317.0,35.14,33.629,34.8
2015-04-10,35.2,35.31,1463697.0,35.11,33.8599,34.98
2015-04-13,35.16,35.42,663477.0,35.09,33.8214,35.08
2015-04-14,35.2,35.36,780700.0,35.07,33.8599,35.02
2015-04-15,35.49,35.72,1276298.0,35.32,34.1389,35.265
2015-04-16,35.83,36.03,913958.0,35.4,34.4659,35.25
2015-04-17,35.14,35.51,1145252.0,35.51,33.8022,34.96
2015-04-20,35.46,35.57,661123.0,35.36,34.11,35.26
2015-04-21,35.36,35.68,521311.0,35.52,34.0138,35.09
2015-04-22,35.46,35.47,513155.0,35.4,34.11,35.09
2015-04-23,35.9,36.19,816872.0,35.49,34.5333,35.37
2015-04-24,35.63,35.9723,673908.0,35.88,34.2735,35.4
2015-04-27,36.3,36.31,798387.0,35.73,34.918,35.7
2015-04-28,36.37,36.38,913078.0,36.13,34.9854,35.92
2015-04-29,36.63,36.765,1707110.0,36.16,35.2355,36.15
2015-04-30,37.02,37.48,1920759.0,36.65,35.6106,36.125
2015-05-01,37.14,37.324,1650275.0,37.29,35.7261,36.23
2015-05-04,36.9,37.25,920180.0,37.16,35.4952,36.73
2015-05-05,36.64,37.48,946925.0,36.99,35.2451,36.57
2015-05-06,36.53,36.898,775071.0,36.77,35.1393,36.27
