Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,72.35,73.51,1641547.0,73.44,48.5574,72.0
2015-01-05,70.88,72.72,3176619.0,72.41,47.5708,70.87
2015-01-06,70.01,71.4,3597727.0,71.36,46.9869,69.38
2015-01-07,72.33,72.41,3273992.0,70.97,48.544,70.775
2015-01-08,73.59,73.78,3055647.0,72.9,49.3896,72.84
2015-01-09,73.46,73.77,2635865.0,73.71,49.3024,72.78
2015-01-12,72.91,73.47,2821283.0,73.15,48.9332,72.67
2015-01-13,72.61,73.75,3326030.0,73.63,48.7319,71.9
2015-01-14,72.31,73.04,3610525.0,71.31,48.8057,71.18
2015-01-15,71.45,72.785,3877640.0,72.14,48.2253,71.41
2015-01-16,72.43,72.51,2929310.0,71.33,48.8867,70.92
2015-01-20,71.15,72.64,3699628.0,72.42,48.0228,70.95
2015-01-21,71.5,71.6065,2804426.0,70.79,48.259,70.61
2015-01-22,73.79,74.13,3577143.0,72.0,49.8047,71.69
2015-01-23,74.11,74.94,3260866.0,73.89,50.0206,73.75
2015-01-26,74.24,74.51,2258595.0,73.79,50.1084,73.76
2015-01-27,73.43,73.997,3554321.0,73.35,49.5617,73.2252
2015-01-28,72.9,74.04,4790379.0,73.93,49.2039,72.82
2015-01-29,74.27,74.3,2995565.0,72.65,50.1286,72.39
2015-01-30,72.28,73.81,3127753.0,73.63,48.7855,72.22
2015-02-02,72.73,72.86,3103454.0,72.44,49.0892,70.5
2015-02-03,73.61,73.81,3323107.0,73.39,49.6832,72.54
2015-02-04,73.65,74.2,3752740.0,73.29,49.7102,73.28
2015-02-05,75.2,75.57,9362883.0,73.05,50.7563,72.1103
2015-02-06,73.93,74.93,4699452.0,74.9,49.8991,73.51
2015-02-09,73.11,74.21,2797639.0,73.46,49.3457,72.98
2015-02-10,74.08,74.25,2340061.0,73.51,50.0004,73.05
2015-02-11,73.99,74.41,2262756.0,74.23,49.9396,73.5
2015-02-12,74.8,74.9,2300203.0,74.29,50.4864,73.41
2015-02-13,74.69,74.9,2636358.0,74.63,50.4121,74.23
2015-02-17,76.05,76.2,3916534.0,74.48,51.33,74.27
2015-02-18,76.5,76.775,3457093.0,75.95,51.6338,75.51
2015-02-19,76.67,76.91,2348553.0,76.57,51.7485,75.97
2015-02-20,77.53,77.64,3899164.0,76.69,52.329,76.215
2015-02-23,77.44,78.3,2297084.0,77.77,52.2682,77.11
2015-02-24,77.86,78.06,2014287.0,77.42,52.5517,77.08
2015-02-25,78.96,79.04,2743981.0,77.86,53.2942,77.53
2015-02-26,79.39,79.5,3830458.0,78.87,53.5844,78.215
2015-02-27,81.11,82.47,9799943.0,79.22,54.7453,78.84
2015-03-02,81.8,82.8286,3377534.0,81.0,55.211,80.4801
2015-03-03,81.51,81.62,4648203.0,81.0,55.0153,80.11
2015-03-04,80.08,81.16,7713593.0,80.48,54.0501,79.77
2015-03-05,80.52,80.86,3352462.0,80.07,54.3471,79.66
2015-03-06,79.16,80.29,4217629.0,79.84,53.4291,78.78
2015-03-09,79.44,79.97,2374962.0,79.26,53.6181,79.2
2015-03-10,77.88,79.19,3186292.0,78.97,52.5652,77.85
2015-03-11,76.5,78.19,4676315.0,77.5,51.6338,76.4
2015-03-12,77.84,77.93,2891923.0,77.06,52.5382,76.74
2015-03-13,77.51,78.34,2624071.0,78.34,52.3155,76.79
2015-03-16,78.19,78.47,3173792.0,78.06,52.7744,77.72
2015-03-17,77.86,78.28,2845349.0,78.08,52.5517,77.77
2015-03-18,78.94,79.3165,2671938.0,77.97,53.2807,77.52
2015-03-19,78.74,79.1861,3082524.0,78.8,53.1457,78.49
2015-03-20,79.21,80.0,6976084.0,79.21,53.4629,78.87
2015-03-23,79.27,80.09,3454610.0,79.25,53.5034,79.11
2015-03-24,80.17,80.36,4546349.0,79.5,54.1108,79.5
2015-03-25,79.15,80.5,3450343.0,80.5,53.4224,79.11
2015-03-26,78.55,79.18,2592727.0,78.53,53.0174,78.22
2015-03-27,78.31,79.07,1947760.0,78.61,52.8554,78.18
2015-03-30,79.41,79.58,2014523.0,78.36,53.5979,78.36
2015-03-31,78.72,79.83,2395403.0,79.21,53.1322,78.72
2015-04-01,78.84,78.8897,2708180.0,78.65,53.2132,78.15
2015-04-02,79.79,79.92,3546970.0,79.02,53.8544,78.48
2015-04-06,79.73,80.49,2503131.0,79.46,53.8139,79.1532
2015-04-07,78.29,79.89,4351776.0,79.75,52.8419,78.17
2015-04-08,78.3,78.91,3147115.0,78.64,53.1254,77.915
2015-04-09,78.92,78.97,3962908.0,78.04,53.5461,78.0101
2015-04-10,80.02,80.11,2441140.0,78.95,54.2924,78.74
2015-04-13,80.72,81.2,4330872.0,79.75,54.7673,79.35
2015-04-14,79.62,80.35,2829964.0,80.25,54.021,79.31
2015-04-15,79.6,80.44,2674615.0,79.97,54.0074,79.58
2015-04-16,79.49,80.75,3001220.0,79.59,53.9328,79.37
2015-04-17,79.75,80.02,4114607.0,78.96,54.1092,78.74
2015-04-20,81.09,81.33,2938369.0,80.47,55.0184,80.07
2015-04-21,80.85,81.14,4716563.0,80.99,54.8556,80.29
2015-04-22,84.04,85.299,12845816.0,83.51,57.0199,82.46
2015-04-23,84.07,84.44,4539012.0,83.84,57.0403,83.35
2015-04-24,87.1,87.15,7618340.0,84.25,59.0961,84.08
2015-04-27,86.61,87.42,3896333.0,87.1,58.7636,86.39
2015-04-28,86.84,87.24,3022558.0,86.29,58.9197,85.89
2015-04-29,86.25,86.77,2875603.0,86.28,58.5194,86.05
2015-04-30,85.96,86.81,2579694.0,86.06,58.3226,85.6101
2015-05-01,91.9,91.99,17140749.0,86.5,62.3528,86.46
2015-05-04,91.01,94.13,10151255.0,91.95,61.749,90.98
2015-05-05,89.99,90.6,4903300.0,90.31,61.0569,89.83
2015-05-06,89.21,90.42,2945213.0,90.25,60.5277,88.87
2015-05-07,90.13,90.53,3362708.0,89.42,61.1519,88.94
2015-05-08,89.88,91.76,4865334.0,91.0,60.9823,89.87
2015-05-11,89.74,90.52,4358629.0,89.96,60.8873,89.64
2015-05-12,90.39,90.88,2885205.0,89.22,61.3283,89.08
2015-05-13,89.9,90.87,1686174.0,90.13,60.9958,89.69
2015-05-14,90.02,90.74,2004044.0,90.37,61.0773,89.76
