Date,Close,High,Volume,Open,Adj Close,Low
2015-01-02,28.29,28.72,2299118.0,28.67,27.5289,28.055
2015-01-05,27.23,28.23,5326879.0,28.23,26.4975,27.17
2015-01-06,26.19,27.33,9096223.0,27.2,25.4854,25.975
2015-01-07,26.435,26.675,2759850.0,26.42,25.7238,26.1
2015-01-08,26.81,26.95,1831484.0,26.7,26.0888,26.59
2015-01-09,26.06,26.99,1856582.0,26.82,25.3589,25.98
2015-01-12,25.655,26.02,1923496.0,25.99,24.9648,25.56
2015-01-13,25.22,25.98,3722438.0,25.76,24.5415,24.98
2015-01-14,24.79,25.15,4121444.0,24.86,24.1231,24.39
2015-01-15,24.49,24.97,3293482.0,24.81,23.8312,24.25
2015-01-16,24.78,24.82,3462565.0,24.47,24.1134,24.46
2015-01-20,24.39,24.97,2363192.0,24.87,23.7339,24.34
2015-01-21,24.45,24.76,2202920.0,24.35,23.7922,24.23
2015-01-22,25.27,25.4,3001575.0,24.62,24.5902,24.545
2015-01-23,24.81,25.403,1589376.0,25.21,24.1426,24.77
2015-01-26,25.12,25.15,3854548.0,24.66,24.4442,24.51
2015-01-27,24.71,25.09,4524176.0,24.26,24.0452,23.78
2015-01-28,23.87,25.4,2822896.0,24.79,23.2278,23.86
2015-01-29,24.245,24.285,2748240.0,23.92,23.5928,23.72
2015-01-30,23.96,24.38,2481686.0,23.97,23.3154,23.72
2015-02-02,24.62,24.695,2788793.0,24.12,23.9577,23.9
2015-02-03,25.3,25.43,2982426.0,24.85,24.6194,24.77
2015-02-04,24.82,25.42,2697791.0,25.15,24.1523,24.77
2015-02-05,25.7,25.735,3078467.0,24.83,25.0086,24.83
2015-02-06,26.09,26.7,3634500.0,26.04,25.3881,25.99
2015-02-09,25.8,26.21,2354249.0,25.89,25.1059,25.77
2015-02-10,25.67,25.948,1935207.0,25.85,24.9794,25.56
2015-02-11,25.51,25.778,2083072.0,25.55,24.8237,25.31
2015-02-12,26.27,26.32,2539987.0,25.68,25.5633,25.51
2015-02-13,26.32,26.685,1716843.0,26.38,25.6119,26.25
2015-02-17,26.595,26.62,2076787.0,26.25,25.9185,26.04
2015-02-18,26.04,26.58,1519148.0,26.45,25.3776,25.98
2015-02-19,25.96,26.2,1799189.0,25.85,25.2996,25.53
2015-02-20,26.33,26.44,1882046.0,25.83,25.6602,25.56
2015-02-23,26.31,26.34,2300342.0,26.21,25.6407,26.07
2015-02-24,26.46,26.71,2259922.0,26.32,25.7869,26.22
2015-02-25,26.46,26.54,1016283.0,26.45,25.7869,26.39
2015-02-26,26.43,26.52,1354067.0,26.39,25.7577,26.22
2015-02-27,26.735,26.95,2566412.0,26.52,26.0549,26.34
2015-03-02,27.11,27.12,2101757.0,26.67,26.4204,26.51
2015-03-03,27.0,27.16,3237735.0,26.76,26.3132,26.76
2015-03-04,27.235,27.24,3223229.0,27.02,26.5422,26.69
2015-03-05,27.42,27.45,2328800.0,27.35,26.7225,26.88
2015-03-06,27.34,27.75,4850307.0,26.84,26.6445,26.84
2015-03-09,27.46,27.59,1727586.0,27.33,26.7615,27.22
2015-03-10,26.55,27.2899,2973753.0,27.09,25.8746,26.55
2015-03-11,27.08,27.125,3318778.0,26.57,26.3911,26.501
2015-03-12,28.04,28.12,4569509.0,27.44,27.3267,27.2625
2015-03-13,27.59,28.02,2685026.0,28.02,26.8882,27.2
2015-03-16,27.44,27.766,3349779.0,27.6,26.742,27.2
2015-03-17,27.35,27.38,4003111.0,27.18,26.6543,27.06
2015-03-18,27.135,27.56,3776341.0,27.27,26.4447,26.78
2015-03-19,26.51,27.13,2984658.0,27.06,25.8356,26.4
2015-03-20,27.45,27.465,4265103.0,26.8,26.7517,26.724
2015-03-23,27.26,27.53,1792828.0,27.45,26.5665,27.15
2015-03-24,27.09,27.23,1955321.0,27.2,26.4009,26.97
2015-03-25,26.48,27.15,1398830.0,27.15,25.8064,26.47
2015-03-26,26.73,26.79,2469350.0,26.38,26.05,26.14
2015-03-27,26.42,26.75,1614673.0,26.61,25.7479,26.19
2015-03-30,27.0,27.14,1588723.0,26.57,26.3132,26.5
2015-03-31,27.0,27.06,1419257.0,26.83,26.3132,26.66
2015-04-01,26.93,27.06,1537587.0,27.01,26.2449,26.64
2015-04-02,27.11,27.19,1464632.0,26.88,26.4204,26.82
2015-04-06,26.9,27.04,1555339.0,26.79,26.2157,26.2
2015-04-07,27.21,27.35,1893613.0,26.8,26.5178,26.79
2015-04-08,27.27,27.42,2169368.0,27.22,26.5763,26.97
2015-04-09,27.535,27.59,2009948.0,27.23,26.8346,27.06
2015-04-10,27.33,27.64,1109999.0,27.52,26.6348,27.18
2015-04-13,27.65,27.8,1560938.0,27.35,26.9466,27.29
2015-04-14,27.44,27.67,1304279.0,27.55,26.742,27.27
2015-04-15,27.92,28.11,2027245.0,27.4,27.2098,27.24
2015-04-16,27.78,27.98,1438342.0,27.89,27.0733,27.52
2015-04-17,27.39,27.84,1814728.0,27.59,26.6932,27.3
2015-04-20,27.46,27.6,2732074.0,27.49,26.7615,27.19
2015-04-21,27.215,27.62,2553764.0,27.28,26.5227,26.94
2015-04-22,27.89,28.09,2669720.0,27.75,27.1805,27.3
2015-04-23,27.7,27.92,1511997.0,27.72,26.9954,27.525
2015-04-24,27.61,27.75,1447421.0,27.65,26.9076,27.41
2015-04-27,27.485,27.975,1892589.0,27.72,26.7858,27.33
2015-04-28,27.88,27.95,1430841.0,27.55,27.1708,27.22
2015-04-29,28.29,28.45,2656861.0,27.77,27.5703,27.72
2015-04-30,28.335,28.65,2752272.0,28.17,27.6142,27.72
2015-05-01,28.32,28.62,1885395.0,28.52,27.5996,28.2
2015-05-04,28.75,28.78,1830390.0,28.4,28.0186,28.288
2015-05-05,28.64,29.085,2034233.0,28.72,27.9114,28.595
2015-05-06,28.78,28.86,1948979.0,28.76,28.0479,28.54
2015-05-07,28.58,28.76,3538661.0,28.65,27.853,28.39
2015-05-08,28.72,28.816,1907646.0,28.71,27.9894,28.43
2015-05-11,28.72,28.8659,1444694.0,28.69,27.9894,28.57
2015-05-12,28.9,28.99,1540918.0,28.65,28.1648,28.51
2015-05-13,29.14,29.17,1532119.0,28.88,28.3987,28.68
2015-05-14,29.16,29.31,1756330.0,29.31,28.4182,28.91
2015-05-15,28.74,29.38,1425803.0,29.38,28.0089,28.6
2015-05-18,29.17,29.26,1290298.0,28.77,28.428,28.72
2015-05-19,29.43,29.52,1844475.0,29.3,28.7398,29.14
2015-05-20,29.11,29.42,1176547.0,29.4,28.4273,29.05
2015-05-21,29.09,29.2,1231242.0,28.61,28.4078,28.5
2015-05-22,29.02,29.17,1094065.0,29.1,28.3394,28.95
2015-05-26,28.96,29.115,1645726.0,28.87,28.2808,28.8
2015-05-27,29.26,29.29,1433954.0,28.98,28.5738,28.87
2015-05-28,29.12,29.3,1435859.0,29.11,28.4371,28.98
2015-05-29,28.88,29.27,2361113.0,29.21,28.2027,28.855
2015-06-01,28.6,29.07,3797966.0,29.04,27.9293,28.3
2015-06-02,30.52,30.6,10811000.0,29.96,29.8043,29.81
2015-06-03,30.92,31.25,4823236.0,30.6,30.1949,30.42
2015-06-04,30.79,31.29,3869495.0,30.86,30.0679,30.63
2015-06-05,31.84,32.15,6932028.0,31.23,31.0933,31.0
2015-06-08,31.81,32.13,3708053.0,31.84,31.064,31.65
2015-06-09,31.86,32.235,2852718.0,31.94,31.1128,31.78
2015-06-10,32.41,32.66,4370531.0,32.21,31.6499,32.02
2015-06-11,31.94,32.53,3544970.0,32.36,31.191,31.85
2015-06-12,31.95,31.98,2367500.0,31.87,31.2007,31.69
2015-06-15,32.12,32.3,2204085.0,31.66,31.3667,31.51
2015-06-16,32.26,32.6,2506825.0,31.99,31.5034,31.95
2015-06-17,31.91,32.56,2304137.0,32.42,31.1617,31.81
2015-06-18,32.02,32.15,3032003.0,31.91,31.2691,31.53
2015-06-19,31.53,32.21,5204216.0,31.95,30.7906,31.27
