,date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
0,2000-01-03,3152.5,3152.5,3122.3999,3124.1001,3124.1001,0.0,0.0,1.0
1,2000-01-04,3124.1001,3124.1001,3035.3,3050.8999,3050.8999,0.0,0.0,1.0
2,2000-01-05,3050.8999,3075.3999,3026.0,3030.1001,3030.1001,0.0,0.0,1.0
3,2000-01-06,3030.1001,3048.3,3016.2,3044.5,3044.5,0.0,0.0,1.0
4,2000-01-09,3044.5,3111.5,3044.5,3103.1001,3103.1001,0.0,0.0,1.0
5,2000-01-10,3103.1001,3173.8999,3103.1001,3164.6001,3164.6001,0.0,0.0,1.0
6,2000-01-11,3164.6001,3164.6001,3095.5,3104.6001,3104.6001,0.0,0.0,1.0
7,2000-01-12,3104.6001,3105.8999,3089.0,3095.8,3095.8,0.0,0.0,1.0
8,2000-01-13,3095.8,3131.6001,3095.8,3131.6001,3131.6001,0.0,0.0,1.0
9,2000-01-16,3131.6001,3147.5,3131.0,3139.8999,3139.8999,0.0,0.0,1.0
10,2000-01-17,3139.8999,3157.1001,3127.2,3151.2,3151.2,0.0,0.0,1.0
11,2000-01-18,3151.2,3151.2,3104.1001,3105.3999,3105.3999,0.0,0.0,1.0
12,2000-01-19,3105.3999,3139.5,3079.5,3137.1001,3137.1001,0.0,0.0,1.0
13,2000-01-20,3137.1001,3137.1001,3097.6001,3103.3999,3103.3999,0.0,0.0,1.0
14,2000-01-23,3103.3999,3115.3999,3096.3999,3096.6001,3096.6001,0.0,0.0,1.0
15,2000-01-24,3096.6001,3096.6001,3048.1001,3078.6001,3078.6001,0.0,0.0,1.0
16,2000-01-25,3096.6001,3096.6001,3048.1001,3078.6001,3078.6001,0.0,0.0,1.0
17,2000-01-26,3078.6001,3089.3999,3072.0,3083.3999,3083.3999,0.0,0.0,1.0
18,2000-01-27,3083.3999,3107.1001,3082.0,3092.1001,3092.1001,0.0,0.0,1.0
19,2000-01-30,3092.1001,3096.0,3069.3999,3096.0,3096.0,0.0,0.0,1.0
20,2000-01-31,3096.0,3108.7,3077.8,3084.5,3084.5,0.0,0.0,1.0
21,2000-02-01,3084.5,3124.2,3084.5,3116.3,3116.3,0.0,0.0,1.0
22,2000-02-02,3116.3,3135.5,3103.0,3135.1001,3135.1001,0.0,0.0,1.0
23,2000-02-03,3135.1001,3141.7,3115.1001,3115.1001,3115.1001,0.0,0.0,1.0
24,2000-02-06,3115.1001,3138.3,3113.3999,3130.3999,3130.3999,0.0,0.0,1.0
25,2000-02-07,3130.3999,3141.5,3120.5,3124.0,3124.0,0.0,0.0,1.0
26,2000-02-08,3124.0,3159.6001,3124.0,3134.0,3134.0,0.0,0.0,1.0
27,2000-02-09,3134.0,3175.3,3120.5,3172.5,3172.5,0.0,0.0,1.0
28,2000-02-10,3172.5,3174.7,3145.3,3167.1001,3167.1001,0.0,0.0,1.0
29,2000-02-13,3167.1001,3167.1001,3128.6001,3135.3,3135.3,0.0,0.0,1.0
30,2000-02-14,3135.3,3168.5,3135.3,3158.1001,3158.1001,0.0,0.0,1.0
31,2000-02-15,3158.1001,3194.2,3145.8999,3148.3,3148.3,0.0,0.0,1.0
32,2000-02-16,3145.5,3154.3,3124.3,3144.8999,3144.8999,0.0,0.0,1.0
33,2000-02-17,3144.8999,3157.2,3114.3,3120.1001,3120.1001,0.0,0.0,1.0
34,2000-02-20,3120.1001,3122.0,3083.5,3117.1001,3117.1001,0.0,0.0,1.0
35,2000-02-21,3117.1001,3123.2,3097.3999,3101.2,3101.2,0.0,0.0,1.0
36,2000-02-22,3101.2,3126.3,3096.1001,3112.5,3112.5,0.0,0.0,1.0
37,2000-02-23,3112.5,3133.7,3101.3,3106.8999,3106.8999,0.0,0.0,1.0
38,2000-02-24,3106.8999,3129.7,3088.6001,3123.7,3123.7,0.0,0.0,1.0
39,2000-02-27,3123.7,3126.3,3108.1001,3118.0,3118.0,0.0,0.0,1.0
40,2000-02-28,3118.0,3151.0,3118.0,3135.7,3135.7,0.0,0.0,1.0
41,2000-02-29,3135.7,3195.7,3127.3999,3192.6001,3192.6001,0.0,0.0,1.0
42,2000-03-01,3192.6001,3228.3,3192.6001,3220.0,3220.0,0.0,0.0,1.0
43,2000-03-02,3220.0,3255.7,3203.1001,3225.8,3225.8,0.0,0.0,1.0
44,2000-03-05,3225.8,3255.2,3219.3999,3232.1001,3232.1001,0.0,0.0,1.0
45,2000-03-06,3232.1001,3251.0,3207.5,3251.0,3251.0,0.0,0.0,1.0
46,2000-03-07,3251.0,3253.3999,3201.2,3218.5,3218.5,0.0,0.0,1.0
47,2000-03-08,3218.5,3218.8999,3185.5,3196.6001,3196.6001,0.0,0.0,1.0
48,2000-03-09,3196.6001,3220.0,3196.0,3199.5,3199.5,0.0,0.0,1.0
49,2000-03-12,3199.5,3208.3,3179.5,3190.3,3190.3,0.0,0.0,1.0
50,2000-03-13,3190.3,3190.3,3160.1001,3187.3999,3187.3999,0.0,0.0,1.0
51,2000-03-14,3187.3999,3187.3999,3153.1001,3163.5,3163.5,0.0,0.0,1.0
52,2000-03-15,3163.5,3197.6001,3163.5,3180.2,3180.2,0.0,0.0,1.0
53,2000-03-16,3180.2,3252.2,3180.2,3203.3999,3203.3999,0.0,0.0,1.0
54,2000-03-19,3203.3999,3229.1001,3199.3,3228.1001,3228.1001,0.0,0.0,1.0
55,2000-03-20,3228.1001,3247.3999,3224.8,3242.2,3242.2,0.0,0.0,1.0
56,2000-03-21,3242.2,3276.2,3242.2,3274.1001,3274.1001,0.0,0.0,1.0
57,2000-03-22,3274.1001,3276.7,3238.8999,3243.5,3243.5,0.0,0.0,1.0
58,2000-03-23,3243.5,3259.7,3233.8999,3247.3999,3247.3999,0.0,0.0,1.0
59,2000-03-27,3247.3999,3255.5,3223.8999,3225.6001,3225.6001,0.0,0.0,1.0
60,2000-03-28,3225.6001,3240.8,3204.0,3240.8,3240.8,0.0,0.0,1.0
61,2000-03-29,3240.8,3246.2,3219.3,3228.5,3228.5,0.0,0.0,1.0
62,2000-03-30,3228.5,3228.5,3194.8,3194.8,3194.8,0.0,0.0,1.0
63,2000-03-31,3194.8,3194.8,3133.3,3133.3,3133.3,0.0,0.0,1.0
64,2000-04-03,3133.3,3183.2,3133.3,3183.2,3183.2,0.0,0.0,1.0
65,2000-04-04,3183.2,3189.3999,3158.5,3163.5,3163.5,0.0,0.0,1.0
66,2000-04-05,3163.5,3163.5,3125.7,3137.8,3137.8,0.0,0.0,1.0
67,2000-04-06,3137.8,3150.3999,3124.2,3142.3999,3142.3999,0.0,0.0,1.0
68,2000-04-07,3142.3999,3178.8,3142.3999,3168.2,3168.2,0.0,0.0,1.0
69,2000-04-10,3168.2,3187.3,3166.1001,3187.3,3187.3,0.0,0.0,1.0
70,2000-04-11,3187.3,3187.3,3148.0,3155.3999,3155.3999,0.0,0.0,1.0
71,2000-04-12,3155.3999,3155.3999,3123.7,3133.3999,3133.3999,0.0,0.0,1.0
72,2000-04-13,3133.3999,3133.3999,3074.8999,3084.7,3084.7,0.0,0.0,1.0
73,2000-04-14,3084.7,3097.8,3059.6001,3096.0,3096.0,0.0,0.0,1.0
74,2000-04-17,3096.0,3096.0,2883.0,2920.0,2920.0,0.0,0.0,1.0
75,2000-04-18,2920.0,3011.2,2919.8999,2986.5,2986.5,0.0,0.0,1.0
76,2000-04-19,2986.5,3046.0,2986.5,3042.3,3042.3,0.0,0.0,1.0
77,2000-04-20,3042.3,3044.8999,3013.1001,3041.5,3041.5,0.0,0.0,1.0
78,2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,2000-04-26,3041.5,3095.8999,3041.5,3084.5,3084.5,0.0,0.0,1.0
82,2000-04-27,3084.5,3084.5,3058.3999,3073.1001,3073.1001,0.0,0.0,1.0
83,2000-04-28,3073.1001,3087.8999,3056.7,3085.1001,3085.1001,0.0,0.0,1.0
84,2000-05-01,3085.1001,3093.8999,3071.8,3071.8,3071.8,0.0,0.0,1.0
85,2000-05-02,3071.8,3099.8,3071.8,3099.1001,3099.1001,0.0,0.0,1.0
86,2000-05-03,3099.1001,3099.1001,3073.2,3076.7,3076.7,0.0,0.0,1.0
87,2000-05-04,3076.7,3076.7,3021.8999,3025.8999,3025.8999,0.0,0.0,1.0
88,2000-05-05,3025.8999,3075.6001,3025.8999,3075.6001,3075.6001,0.0,0.0,1.0
89,2000-05-08,3075.6001,3091.8,3073.2,3075.1001,3075.1001,0.0,0.0,1.0
90,2000-05-09,3075.1001,3075.6001,3054.6001,3054.6001,3054.6001,0.0,0.0,1.0
91,2000-05-10,3054.6001,3054.6001,3003.0,3011.8,3011.8,0.0,0.0,1.0
92,2000-05-11,3011.8,3011.8,2958.2,2966.8,2966.8,0.0,0.0,1.0
93,2000-05-12,2966.8,3012.7,2966.8,3004.0,3004.0,0.0,0.0,1.0
