,date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
0,2000-01-04,18937.4492,19187.6094,18937.4492,19002.8594,19002.8594,0.0,0.0,1.0
1,2000-01-05,19003.5098,19003.5098,18221.8203,18542.5508,18542.5508,0.0,0.0,1.0
2,2000-01-06,18574.0098,18582.7402,18168.2695,18168.2695,18168.2695,0.0,0.0,1.0
3,2000-01-07,18194.0508,18285.7305,18068.0996,18193.4102,18193.4102,0.0,0.0,1.0
4,2000-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2000-01-11,18246.0996,18887.5605,18246.0996,18850.9199,18850.9199,0.0,0.0,1.0
6,2000-01-12,18780.1699,18811.8691,18626.9199,18677.4199,18677.4199,0.0,0.0,1.0
7,2000-01-13,18667.1797,18845.0293,18667.1797,18833.2891,18833.2891,0.0,0.0,1.0
8,2000-01-14,18882.9902,19058.0195,18733.8301,18956.5508,18956.5508,0.0,0.0,1.0
9,2000-01-17,19025.6191,19442.5801,19025.6191,19437.2305,19437.2305,0.0,0.0,1.0
10,2000-01-18,19412.4707,19412.4707,19145.1699,19196.5703,19196.5703,0.0,0.0,1.0
11,2000-01-19,19181.8691,19181.8691,18897.75,18897.75,18897.75,0.0,0.0,1.0
12,2000-01-20,18930.2598,19167.0293,18921.1094,19008.0098,19008.0098,0.0,0.0,1.0
13,2000-01-21,18994.8906,18994.8906,18713.1699,18878.0898,18878.0898,0.0,0.0,1.0
14,2000-01-24,18878.4609,19124.5703,18877.1309,19056.7109,19056.7109,0.0,0.0,1.0
15,2000-01-25,19004.3906,19131.1895,18815.3691,18895.5293,18895.5293,0.0,0.0,1.0
16,2000-01-26,18982.8398,19145.9004,18982.8398,19111.1895,19111.1895,0.0,0.0,1.0
17,2000-01-27,19125.6191,19238.0801,18971.6797,19209.7207,19209.7207,0.0,0.0,1.0
18,2000-01-28,19261.0098,19595.8301,19237.4902,19434.7793,19434.7793,0.0,0.0,1.0
19,2000-01-31,19375.1094,19539.6992,19224.4707,19539.6992,19539.6992,0.0,0.0,1.0
20,2000-02-01,19536.6797,19553.6797,19266.9609,19423.3809,19423.3809,0.0,0.0,1.0
21,2000-02-02,19522.3301,19860.2598,19522.3301,19578.9102,19578.9102,0.0,0.0,1.0
