,date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
0,2000-01-03,6762.1099,6762.1099,6762.1099,6762.1099,6762.1099,0.0,0.0,1.0
1,2000-01-04,6543.7598,6543.7598,6543.7598,6543.7598,6543.7598,0.0,0.0,1.0
2,2000-01-05,6567.0298,6567.0298,6567.0298,6567.0298,6567.0298,0.0,0.0,1.0
3,2000-01-06,6635.4399,6635.4399,6635.4399,6635.4399,6635.4399,0.0,0.0,1.0
4,2000-01-07,6792.6699,6792.6699,6792.6699,6792.6699,6792.6699,0.0,0.0,1.0
5,2000-01-10,6838.4502,6838.4502,6838.4502,6838.4502,6838.4502,0.0,0.0,1.0
6,2000-01-11,6774.48,6774.48,6774.48,6774.48,6774.48,0.0,0.0,1.0
7,2000-01-12,6766.5498,6766.5498,6766.5498,6766.5498,6766.5498,0.0,0.0,1.0
8,2000-01-13,6836.7598,6836.7598,6836.7598,6836.7598,6836.7598,0.0,0.0,1.0
9,2000-01-14,6870.4902,6870.4902,6870.4902,6870.4902,6870.4902,0.0,0.0,1.0
10,2000-01-18,6808.6401,6808.6401,6808.6401,6808.6401,6808.6401,0.0,0.0,1.0
11,2000-01-19,6823.9702,6823.9702,6823.9702,6823.9702,6823.9702,0.0,0.0,1.0
12,2000-01-20,6772.5801,6772.5801,6772.5801,6772.5801,6772.5801,0.0,0.0,1.0
13,2000-01-21,6762.75,6762.75,6762.75,6762.75,6762.75,0.0,0.0,1.0
14,2000-01-24,6611.1201,6611.1201,6611.1201,6611.1201,6611.1201,0.0,0.0,1.0
15,2000-01-25,6606.7798,6606.7798,6606.7798,6606.7798,6606.7798,0.0,0.0,1.0
16,2000-01-26,6644.8501,6644.8501,6644.8501,6644.8501,6644.8501,0.0,0.0,1.0
17,2000-01-27,6627.1899,6627.1899,6627.1899,6627.1899,6627.1899,0.0,0.0,1.0
18,2000-01-28,6469.1099,6469.1099,6469.1099,6469.1099,6469.1099,0.0,0.0,1.0
19,2000-01-31,6574.0098,6574.0098,6574.0098,6574.0098,6574.0098,0.0,0.0,1.0
20,2000-02-01,6606.8901,6606.8901,6606.8901,6606.8901,6606.8901,0.0,0.0,1.0
21,2000-02-02,6618.4199,6618.4199,6618.4199,6618.4199,6618.4199,0.0,0.0,1.0
22,2000-02-03,6657.54,6657.54,6657.54,6657.54,6657.54,0.0,0.0,1.0
23,2000-02-04,6628.6699,6628.6699,6628.6699,6628.6699,6628.6699,0.0,0.0,1.0
24,2000-02-07,6596.3198,6596.3198,6596.3198,6596.3198,6596.3198,0.0,0.0,1.0
25,2000-02-08,6651.2998,6651.2998,6651.2998,6651.2998,6651.2998,0.0,0.0,1.0
26,2000-02-09,6523.7798,6523.7798,6523.7798,6523.7798,6523.7798,0.0,0.0,1.0
27,2000-02-10,6496.8198,6496.8198,6496.8198,6496.8198,6496.8198,0.0,0.0,1.0
28,2000-02-11,6391.3999,6391.3999,6391.3999,6391.3999,6391.3999,0.0,0.0,1.0
29,2000-02-14,6398.0601,6398.0601,6398.0601,6398.0601,6398.0601,0.0,0.0,1.0
30,2000-02-15,6459.2798,6459.2798,6459.2798,6459.2798,6459.2798,0.0,0.0,1.0
31,2000-02-16,6396.79,6396.79,6396.79,6396.79,6396.79,0.0,0.0,1.0
32,2000-02-17,6357.5601,6357.5601,6357.5601,6357.5601,6357.5601,0.0,0.0,1.0
33,2000-02-18,6203.29,6203.29,6203.29,6203.29,6203.29,0.0,0.0,1.0
34,2000-02-22,6239.77,6239.77,6239.77,6239.77,6239.77,0.0,0.0,1.0
35,2000-02-23,6224.02,6224.02,6224.02,6224.02,6224.02,0.0,0.0,1.0
36,2000-02-24,6170.5098,6170.5098,6170.5098,6170.5098,6170.5098,0.0,0.0,1.0
37,2000-02-25,6094.9102,6094.9102,6094.9102,6094.9102,6094.9102,0.0,0.0,1.0
38,2000-02-28,6177.1699,6177.1699,6177.1699,6177.1699,6177.1699,0.0,0.0,1.0
39,2000-02-29,6266.4199,6266.4199,6266.4199,6266.4199,6266.4199,0.0,0.0,1.0
40,2000-03-01,6338.7402,6338.7402,6338.7402,6338.7402,6338.7402,0.0,0.0,1.0
41,2000-03-02,6360.1001,6360.1001,6360.1001,6360.1001,6360.1001,0.0,0.0,1.0
42,2000-03-03,6454.9502,6454.9502,6454.9502,6454.9502,6454.9502,0.0,0.0,1.0
43,2000-03-06,6386.7402,6386.7402,6386.7402,6386.7402,6386.7402,0.0,0.0,1.0
44,2000-03-07,6223.3799,6223.3799,6223.3799,6223.3799,6223.3799,0.0,0.0,1.0
45,2000-03-08,6251.5098,6251.5098,6251.5098,6251.5098,6251.5098,0.0,0.0,1.0
46,2000-03-09,6375.96,6375.96,6375.96,6375.96,6375.96,0.0,0.0,1.0
47,2000-03-10,6337.2598,6337.2598,6337.2598,6337.2598,6337.2598,0.0,0.0,1.0
48,2000-03-13,6287.25,6287.25,6287.25,6287.25,6287.25,0.0,0.0,1.0
49,2000-03-14,6221.8999,6221.8999,6221.8999,6221.8999,6221.8999,0.0,0.0,1.0
50,2000-03-15,6397.3198,6397.3198,6397.3198,6397.3198,6397.3198,0.0,0.0,1.0
51,2000-03-16,6708.3999,6708.3999,6708.3999,6708.3999,6708.3999,0.0,0.0,1.0
52,2000-03-17,6692.96,6692.96,6692.96,6692.96,6692.96,0.0,0.0,1.0
53,2000-03-20,6673.5,6673.5,6673.5,6673.5,6673.5,0.0,0.0,1.0
54,2000-03-21,6796.6899,6796.6899,6796.6899,6796.6899,6796.6899,0.0,0.0,1.0
55,2000-03-22,6801.4502,6801.4502,6801.4502,6801.4502,6801.4502,0.0,0.0,1.0
56,2000-03-23,6897.3501,6897.3501,6897.3501,6897.3501,6897.3501,0.0,0.0,1.0
57,2000-03-24,6899.3599,6899.3599,6899.3599,6899.3599,6899.3599,0.0,0.0,1.0
58,2000-03-27,6863.8301,6863.8301,6863.8301,6863.8301,6863.8301,0.0,0.0,1.0
59,2000-03-28,6824.9199,6824.9199,6824.9199,6824.9199,6824.9199,0.0,0.0,1.0
60,2000-03-29,6866.1602,6866.1602,6866.1602,6866.1602,6866.1602,0.0,0.0,1.0
61,2000-03-30,6827.1401,6827.1401,6827.1401,6827.1401,6827.1401,0.0,0.0,1.0
62,2000-03-31,6848.6099,6848.6099,6848.6099,6848.6099,6848.6099,0.0,0.0,1.0
63,2000-04-03,6975.0698,6975.0698,6975.0698,6975.0698,6975.0698,0.0,0.0,1.0
64,2000-04-04,6897.2402,6897.2402,6897.2402,6897.2402,6897.2402,0.0,0.0,1.0
65,2000-04-05,6878.5298,6878.5298,6878.5298,6878.5298,6878.5298,0.0,0.0,1.0
66,2000-04-06,6965.8701,6965.8701,6965.8701,6965.8701,6965.8701,0.0,0.0,1.0
67,2000-04-07,6972.6401,6972.6401,6972.6401,6972.6401,6972.6401,0.0,0.0,1.0
68,2000-04-10,6975.6001,6975.6001,6975.6001,6975.6001,6975.6001,0.0,0.0,1.0
