Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,111.04,110.33,110.33,112.06,478860.0,109.225
2015-01-05,110.05,108.67,108.67,110.05,631128.0,107.98
2015-01-06,109.17,107.26,107.26,109.26,896644.0,106.41
2015-01-07,103.62,104.93,104.93,106.52,1252853.0,103.42
2015-01-08,105.28,104.01,104.01,106.18,1648074.0,103.76
2015-01-09,104.15,103.36,103.36,104.78,1280750.0,102.65
2015-01-12,103.29,102.82,102.82,104.61,808351.0,102.23
2015-01-13,103.33,102.49,102.49,104.61,608878.0,101.941
2015-01-14,101.87,101.3,101.3,102.474,606745.0,100.94
2015-01-15,100.79,98.59,98.59,101.4,1133436.0,97.97
2015-01-16,98.21,97.74,97.74,99.0,1186565.0,97.36
2015-01-20,96.75,97.98,97.98,98.795,1208843.0,96.3
2015-01-21,98.0,99.09,99.09,99.98,880430.0,97.695
2015-01-22,99.12,100.95,100.95,101.34,1000808.0,99.0
2015-01-23,100.57,99.37,99.37,100.91,659158.0,99.14
2015-01-26,99.11,99.19,99.19,99.35,944010.0,98.34
2015-01-27,98.58,100.265,100.265,100.66,924681.0,97.43
2015-01-28,101.21,99.825,99.825,101.21,769567.0,99.7
2015-01-29,100.53,99.99,99.99,101.78,1082195.0,99.18
2015-01-30,99.05,97.8,97.8,100.516,926741.0,97.6
2015-02-02,97.71,98.395,98.395,98.74,754895.0,96.78
2015-02-03,98.93,102.99,102.99,103.13,1211777.0,98.47
2015-02-04,101.99,98.98,98.98,101.99,1359110.0,97.43
2015-02-05,96.95,97.12,97.12,97.98,1347573.0,95.43
2015-02-06,97.12,96.32,96.32,98.04,1162488.0,96.01
2015-02-09,94.74,96.28,96.28,96.95,1052067.0,94.31
2015-02-10,96.61,97.23,97.23,97.33,864530.0,95.91
2015-02-11,96.87,97.73,97.73,98.13,684529.0,96.29
2015-02-12,98.27,98.74,98.74,98.95,656950.0,97.19
2015-02-13,99.24,98.44,98.44,99.47,974830.0,97.33
2015-02-17,97.59,99.32,99.32,99.77,2452618.0,97.59
2015-02-18,84.25,83.69,83.69,84.98,13718189.0,79.85
2015-02-19,83.77,84.91,84.91,85.36,3770228.0,83.595
2015-02-20,84.89,85.14,85.14,85.36,1755290.0,84.2
2015-02-23,84.81,86.08,86.08,86.09,1470587.0,84.648
2015-02-24,86.38,85.36,85.36,86.38,1161123.0,84.99
2015-02-25,85.22,85.365,85.365,86.155,647243.0,84.61
2015-02-26,85.41,85.33,85.33,85.78,1662127.0,84.96
2015-02-27,85.16,86.01,86.01,86.24,1244036.0,85.0301
2015-03-02,85.67,86.62,86.62,87.6,1035366.0,85.67
2015-03-03,86.3,85.5,85.5,86.64,766116.0,85.3
2015-03-04,85.79,85.1,85.1,85.94,1249720.0,84.65
2015-03-05,85.16,85.67,85.67,86.27,1275593.0,84.28
2015-03-06,84.01,81.13,81.13,84.01,2683568.0,80.57
2015-03-09,81.1,80.68,80.68,81.2,1501135.0,80.2
2015-03-10,80.01,80.9,80.9,81.74,1001445.0,79.71
2015-03-11,81.06,80.24,80.24,81.37,606704.0,80.0376
2015-03-12,80.4,80.43,80.43,80.98,707949.0,80.1
2015-03-13,80.53,80.18,80.18,80.93,779139.0,79.5
2015-03-16,80.35,80.43,80.43,80.78,672975.0,79.91
2015-03-17,79.93,81.42,81.42,81.51,626168.0,79.93
2015-03-18,81.15,82.42,82.42,82.6,869253.0,80.89
2015-03-19,82.79,82.53,82.53,83.005,592382.0,81.58
2015-03-20,82.75,83.2,83.2,83.47,1134040.0,82.54
2015-03-23,83.19,84.09,84.09,84.75,627058.0,83.06
2015-03-24,83.95,82.8,82.8,84.36,655614.0,82.79
2015-03-25,83.12,81.89,81.89,83.42,614185.0,81.74
2015-03-26,81.6,81.1,81.1,82.09,602361.0,81.0
2015-03-27,81.0,81.76,81.76,82.0,574442.0,80.9
2015-03-30,81.9,82.17,82.17,82.39,415920.0,81.835
2015-03-31,82.52,82.45,82.45,83.41,1034081.0,82.17
2015-04-01,82.32,82.39,82.39,82.45,584507.0,81.19
2015-04-02,82.18,83.37,83.37,83.77,578779.0,82.16
2015-04-06,82.78,84.23,84.23,84.72,654324.0,82.78
2015-04-07,84.37,85.105,85.105,86.02,757431.0,84.08
2015-04-08,85.73,84.68,84.68,85.81,1025997.0,84.1895
2015-04-09,84.44,84.96,84.96,85.09,502050.0,84.25
2015-04-10,85.05,85.36,85.36,85.7097,753701.0,84.405
2015-04-13,84.63,81.885,81.885,84.63,1433218.0,81.7
2015-04-14,82.0,81.08,81.08,82.05,1144605.0,80.77
2015-04-15,81.14,83.08,83.08,83.65,1143035.0,80.93
2015-04-16,83.23,83.8,83.8,84.38,693342.0,82.01
2015-04-17,83.0,82.45,82.45,83.66,745453.0,82.22
2015-04-20,82.64,81.525,81.525,83.35,731243.0,81.4
2015-04-21,81.77,81.81,81.81,82.57,765282.0,81.0
2015-04-22,81.88,82.49,82.49,82.57,674778.0,81.19
2015-04-23,82.03,83.32,83.32,83.93,878637.0,81.73
2015-04-24,83.14,83.75,83.75,84.65,778272.0,83.02
2015-04-27,84.22,82.01,82.01,84.6,743956.0,81.82
2015-04-28,81.67,83.8,83.8,83.99,952266.0,81.36
2015-04-29,83.5,84.2,84.2,84.87,958087.0,83.1
2015-04-30,83.9,83.98,83.98,84.68,791510.0,83.3
2015-05-01,84.55,85.03,85.03,85.45,780756.0,83.66
2015-05-04,85.03,85.45,85.45,86.25,715444.0,84.92
2015-05-05,85.52,86.46,86.46,86.5,2109201.0,85.12
2015-05-06,84.03,80.63,80.63,84.08,8602990.0,76.4
2015-05-07,79.65,79.65,79.65,80.28,1738891.0,78.8675
2015-05-08,80.22,79.62,79.62,80.99,1390420.0,79.44
2015-05-11,79.74,80.105,80.105,80.28,930694.0,79.545
2015-05-12,80.21,79.37,79.37,80.22,861839.0,79.03
2015-05-13,79.02,77.69,77.69,79.374,1447323.0,76.69
2015-05-14,78.0,77.87,77.87,78.09,559518.0,76.71
2015-05-15,77.98,77.44,77.44,78.26,701555.0,76.96
2015-05-18,77.56,77.85,77.85,78.18,441171.0,77.28
2015-05-19,77.5,77.65,77.65,78.164,841649.0,77.15
2015-05-20,77.83,78.47,78.47,78.7589,1164239.0,77.4075
2015-05-21,78.48,78.52,78.52,79.15,794631.0,77.95
2015-05-22,78.61,78.42,78.42,79.25,781520.0,78.34
2015-05-26,78.16,75.67,75.67,78.2,1247117.0,75.625
2015-05-27,70.97,70.77,70.77,71.99,5183047.0,68.55
2015-05-28,70.42,71.9,71.9,72.1004,1316940.0,70.25
2015-05-29,71.96,71.01,71.01,72.0,3290324.0,70.81
2015-06-01,71.19,71.85,71.85,72.07,1068490.0,70.87
2015-06-02,71.63,72.07,72.07,72.41,786026.0,71.43
2015-06-03,72.62,71.97,71.97,72.85,959326.0,71.72
2015-06-04,71.7,72.42,72.42,72.52,743025.0,71.3456
2015-06-05,72.22,72.06,72.06,72.48,825236.0,71.64
2015-06-08,71.7,71.76,71.76,72.31,687993.0,71.4
2015-06-09,71.99,70.99,70.99,72.33,670628.0,70.97
2015-06-10,71.39,71.45,71.45,72.12,630364.0,71.0
2015-06-11,71.7,71.0,71.0,72.236,646811.0,70.78
2015-06-12,70.96,71.17,71.17,71.4,670375.0,70.56
2015-06-15,70.78,70.68,70.68,71.4,634437.0,70.26
2015-06-16,70.7,71.5,71.5,72.109,630990.0,70.7
2015-06-17,71.47,71.46,71.46,71.73,552535.0,70.87
2015-06-18,71.67,71.39,71.39,71.75,499957.0,71.26
2015-06-19,71.08,71.78,71.78,72.28,1057070.0,70.91
2015-06-22,72.35,72.37,72.37,72.56,449988.0,71.68
2015-06-23,72.14,73.2,73.2,73.505,571159.0,72.14
2015-06-24,72.79,72.81,72.81,73.32,1080845.0,72.64
2015-06-25,73.05,72.41,72.41,73.22,890697.0,72.41
2015-06-26,72.5,71.79,71.79,72.86,882075.0,71.705
2015-06-29,71.52,69.43,69.43,71.52,803938.0,69.42
2015-06-30,69.97,69.36,69.36,70.09,564510.0,69.09
2015-07-01,69.7,70.03,70.03,70.15,957902.0,68.81
2015-07-02,70.73,71.78,71.78,72.32,2428118.0,70.06
2015-07-06,71.0,70.14,70.14,71.6,1677386.0,69.94
2015-07-07,70.38,69.79,69.79,70.86,1041187.0,68.84
2015-07-08,69.49,69.39,69.39,70.46,903014.0,69.02
2015-07-09,70.08,68.56,68.56,70.49,804739.0,68.56
2015-07-10,69.31,69.08,69.08,69.59,850719.0,68.72
2015-07-13,69.49,71.41,71.41,71.72,688663.0,69.49
2015-07-14,71.72,70.5,70.5,71.98,794156.0,70.46
2015-07-15,70.12,70.15,70.15,70.46,473485.0,69.78
2015-07-16,70.64,70.38,70.38,70.64,759538.0,69.3
2015-07-17,70.16,69.39,69.39,70.17,433947.0,69.1593
2015-07-20,69.52,69.07,69.07,69.88,505280.0,68.93
2015-07-21,69.07,69.98,69.98,70.42,974003.0,69.07
2015-07-22,69.25,70.06,70.06,70.87,708651.0,69.25
2015-07-23,69.94,67.99,67.99,70.03,1301223.0,67.38
2015-07-24,68.13,67.96,67.96,68.45,797227.0,67.4
2015-07-27,67.65,67.39,67.39,67.86,721489.0,67.08
2015-07-28,67.66,67.67,67.67,68.026,647851.0,66.87
2015-07-29,67.44,68.55,68.55,68.68,647489.0,67.08
2015-07-30,68.56,68.98,68.98,69.27,511220.0,67.665
2015-07-31,69.2,68.75,68.75,69.42,600708.0,68.19
2015-08-03,69.21,64.49,64.49,69.268,2281712.0,64.19
2015-08-04,64.44,64.0,64.0,65.2,1464214.0,63.64
2015-08-05,64.05,64.01,64.01,64.82,1500108.0,63.38
2015-08-06,64.52,64.3,64.3,64.81,1686747.0,63.4
2015-08-07,64.2,64.27,64.27,65.03,1366507.0,63.97
2015-08-10,64.17,64.52,64.52,65.16,1993749.0,64.15
2015-08-11,64.14,62.11,62.11,64.18,3832926.0,61.33
2015-08-12,57.0,60.67,60.67,62.8,6341593.0,56.96
2015-08-13,60.97,61.38,61.38,61.91,1988294.0,59.92
2015-08-14,61.66,61.41,61.41,61.92,1336336.0,60.9
2015-08-17,61.4,62.42,62.42,62.63,997806.0,60.815
2015-08-18,62.6,62.24,62.24,62.72,944422.0,61.65
2015-08-19,62.25,62.01,62.01,62.57,813501.0,61.57
2015-08-20,62.3,60.6,60.6,62.4,1100520.0,60.59
2015-08-21,60.27,60.44,60.44,60.96,1577034.0,59.5
2015-08-24,58.65,59.17,59.17,60.33,2153091.0,56.01
2015-08-25,60.59,57.82,57.82,60.98,1630289.0,57.66
2015-08-26,58.89,58.56,58.56,59.7,1260942.0,57.4
2015-08-27,59.39,61.14,61.14,61.18,1099053.0,58.818
2015-08-28,60.75,61.6,61.6,62.38,1141297.0,60.548
2015-08-31,61.3,61.58,61.58,62.08,663132.0,61.0
2015-09-01,60.0,59.69,59.69,61.38,977288.0,59.06
2015-09-02,60.37,60.58,60.58,60.69,620660.0,59.37
2015-09-03,60.68,61.06,61.06,61.74,530653.0,60.44
2015-09-04,60.14,59.74,59.74,61.115,639348.0,59.45
2015-09-08,61.01,61.21,61.21,61.37,809026.0,60.03
2015-09-09,62.05,59.49,59.49,62.13,830575.0,59.34
2015-09-10,59.28,59.3,59.3,60.04,576377.0,58.86
2015-09-11,59.12,58.75,58.75,59.13,754121.0,57.95
2015-09-14,58.83,58.03,58.03,58.85,780620.0,57.7
2015-09-15,58.3,58.4,58.4,58.71,768714.0,57.87
2015-09-16,58.5,60.2,60.2,60.303,1001884.0,58.41
2015-09-17,59.82,59.16,59.16,60.62,990229.0,59.0
2015-09-18,58.46,58.74,58.74,58.9,1338428.0,58.38
2015-09-21,58.97,58.68,58.68,59.7,579634.0,58.495
2015-09-22,58.5,58.54,58.54,59.07,684042.0,57.9
2015-09-23,58.78,57.2,57.2,58.95,713513.0,57.01
2015-09-24,56.93,57.43,57.43,57.74,829614.0,56.2705
2015-09-25,57.74,56.95,56.95,58.128,604796.0,56.48
2015-09-28,56.54,56.0,56.0,56.748,957505.0,55.7
2015-09-29,55.83,56.16,56.16,56.51,787542.0,55.5101
2015-09-30,56.75,55.88,55.88,57.992,874383.0,55.27
2015-10-01,55.71,54.31,54.31,56.14,1024901.0,53.88
2015-10-02,53.72,55.38,55.38,55.5,1525264.0,53.045
2015-10-05,54.48,55.51,55.51,55.61,1975114.0,53.59
2015-10-06,55.67,55.01,55.01,55.67,903820.0,54.4
2015-10-07,55.06,55.51,55.51,56.24,886837.0,54.85
2015-10-08,55.58,57.89,57.89,58.14,1076325.0,55.2
2015-10-09,57.88,57.18,57.18,58.182,607413.0,56.59
2015-10-12,57.5,56.26,56.26,57.6064,402408.0,56.18
2015-10-13,55.64,55.46,55.46,56.46,548988.0,55.142
2015-10-14,55.7,55.55,55.55,56.55,777645.0,55.14
2015-10-15,55.72,55.25,55.25,55.782,758514.0,54.29
2015-10-16,55.19,54.93,54.93,55.5,681936.0,54.14
2015-10-19,54.78,54.93,54.93,55.47,837922.0,54.31
2015-10-20,55.07,55.55,55.55,55.77,1354226.0,54.72
2015-10-21,55.68,54.14,54.14,55.82,727242.0,54.06
2015-10-22,54.19,54.54,54.54,55.22,789435.0,54.08
2015-10-23,54.62,52.0,52.0,54.956,1223977.0,51.76
2015-10-26,51.85,52.32,52.32,52.56,877459.0,51.62
2015-10-27,52.26,52.93,52.93,53.06,1063965.0,51.575
2015-10-28,53.0,53.61,53.61,54.07,794982.0,52.56
2015-10-29,53.62,53.01,53.01,53.818,718836.0,52.36
2015-10-30,53.12,54.41,54.41,54.58,901894.0,53.02
2015-11-02,54.31,55.12,55.12,55.58,807586.0,53.95
2015-11-03,55.34,54.91,54.91,55.78,1910276.0,54.79
2015-11-04,54.65,53.88,53.88,54.65,2298920.0,52.54
2015-11-05,54.12,55.54,55.54,56.54,1540319.0,53.75
2015-11-06,55.48,55.12,55.12,55.48,1639014.0,54.11
2015-11-09,55.16,53.7,53.7,55.48,2146238.0,53.49
2015-11-10,53.33,54.3,54.3,54.43,1823074.0,53.13
2015-11-11,54.43,52.04,52.04,54.7763,2294761.0,51.83
2015-11-12,51.21,51.01,51.01,52.73,4045834.0,50.34
2015-11-13,37.21,32.39,32.39,37.99,22119314.0,32.22
2015-11-16,32.82,31.85,31.85,33.65,8743565.0,30.65
2015-11-17,32.15,34.57,34.57,35.0886,5574450.0,31.59
2015-11-18,34.95,35.39,35.39,35.49,3438107.0,33.84
2015-11-19,35.09,35.75,35.75,36.355,2445669.0,35.0
2015-11-20,35.9,36.79,36.79,37.01,3230632.0,35.51
2015-11-23,36.8,37.07,37.07,37.285,2032507.0,36.09
2015-11-24,36.6,38.81,38.81,38.91,1807354.0,36.24
2015-11-25,38.51,38.82,38.82,39.1199,1112849.0,38.26
2015-11-27,38.83,39.07,39.07,39.79,817305.0,38.79
2015-11-30,38.6,38.47,38.47,38.88,1699589.0,37.96
